Series ID,Year,Period,Label,Value
CUUR0000SEFG,1935,M01,1935 Jan,6.2
CUUR0000SEFG,1935,M02,1935 Feb,6.2
CUUR0000SEFG,1935,M03,1935 Mar,6.1
CUUR0000SEFG,1935,M04,1935 Apr,6.1
CUUR0000SEFG,1935,M05,1935 May,6.1
CUUR0000SEFG,1935,M06,1935 Jun,6.1
CUUR0000SEFG,1935,M07,1935 Jul,6.1
CUUR0000SEFG,1935,M08,1935 Aug,6.1
CUUR0000SEFG,1935,M09,1935 Sep,6.3
CUUR0000SEFG,1935,M10,1935 Oct,6.3
CUUR0000SEFG,1935,M11,1935 Nov,6.2
CUUR0000SEFG,1935,M12,1935 Dec,6.3
CUUR0000SEFG,1936,M01,1936 Jan,6.3
CUUR0000SEFG,1936,M02,1936 Feb,6.3
CUUR0000SEFG,1936,M03,1936 Mar,6.2
CUUR0000SEFG,1936,M04,1936 Apr,6.2
CUUR0000SEFG,1936,M05,1936 May,6.2
CUUR0000SEFG,1936,M06,1936 Jun,6.2
CUUR0000SEFG,1936,M07,1936 Jul,6.2
CUUR0000SEFG,1936,M08,1936 Aug,6.2
CUUR0000SEFG,1936,M09,1936 Sep,6.2
CUUR0000SEFG,1936,M10,1936 Oct,6.2
CUUR0000SEFG,1936,M11,1936 Nov,6.1
CUUR0000SEFG,1936,M12,1936 Dec,6.1
CUUR0000SEFG,1937,M01,1937 Jan,6.1
CUUR0000SEFG,1937,M02,1937 Feb,6.1
CUUR0000SEFG,1937,M03,1937 Mar,6.1
CUUR0000SEFG,1937,M04,1937 Apr,6.1
CUUR0000SEFG,1937,M05,1937 May,6.1
CUUR0000SEFG,1937,M06,1937 Jun,6.2
CUUR0000SEFG,1937,M07,1937 Jul,6.3
CUUR0000SEFG,1937,M08,1937 Aug,6.4
CUUR0000SEFG,1937,M09,1937 Sep,6.5
CUUR0000SEFG,1937,M10,1937 Oct,6.6
CUUR0000SEFG,1937,M11,1937 Nov,6.7
CUUR0000SEFG,1937,M12,1937 Dec,6.7
CUUR0000SEFG,1938,M01,1938 Jan,6.8
CUUR0000SEFG,1938,M02,1938 Feb,6.8
CUUR0000SEFG,1938,M03,1938 Mar,6.7
CUUR0000SEFG,1938,M04,1938 Apr,6.4
CUUR0000SEFG,1938,M05,1938 May,6.0
CUUR0000SEFG,1938,M06,1938 Jun,6.1
CUUR0000SEFG,1938,M07,1938 Jul,6.2
CUUR0000SEFG,1938,M08,1938 Aug,6.2
CUUR0000SEFG,1938,M09,1938 Sep,6.3
CUUR0000SEFG,1938,M10,1938 Oct,6.3
CUUR0000SEFG,1938,M11,1938 Nov,6.2
CUUR0000SEFG,1938,M12,1938 Dec,6.3
CUUR0000SEFG,1939,M01,1939 Jan,6.4
CUUR0000SEFG,1939,M02,1939 Feb,6.4
CUUR0000SEFG,1939,M03,1939 Mar,6.4
CUUR0000SEFG,1939,M04,1939 Apr,6.3
CUUR0000SEFG,1939,M05,1939 May,6.0
CUUR0000SEFG,1939,M06,1939 Jun,6.1
CUUR0000SEFG,1939,M07,1939 Jul,6.0
CUUR0000SEFG,1939,M08,1939 Aug,6.3
CUUR0000SEFG,1939,M09,1939 Sep,6.4
CUUR0000SEFG,1939,M10,1939 Oct,6.5
CUUR0000SEFG,1939,M11,1939 Nov,6.6
CUUR0000SEFG,1939,M12,1939 Dec,6.6
CUUR0000SEFG,1940,M01,1940 Jan,6.9
CUUR0000SEFG,1940,M02,1940 Feb,6.8
CUUR0000SEFG,1940,M03,1940 Mar,6.9
CUUR0000SEFG,1940,M04,1940 Apr,7.2
CUUR0000SEFG,1940,M05,1940 May,6.9
CUUR0000SEFG,1940,M06,1940 Jun,6.9
CUUR0000SEFG,1940,M07,1940 Jul,6.8
CUUR0000SEFG,1940,M08,1940 Aug,6.9
CUUR0000SEFG,1940,M09,1940 Sep,7.0
CUUR0000SEFG,1940,M10,1940 Oct,7.0
CUUR0000SEFG,1940,M11,1940 Nov,7.0
CUUR0000SEFG,1940,M12,1940 Dec,7.2
CUUR0000SEFG,1941,M01,1941 Jan,7.4
CUUR0000SEFG,1941,M02,1941 Feb,7.4
CUUR0000SEFG,1941,M03,1941 Mar,7.5
CUUR0000SEFG,1941,M04,1941 Apr,7.6
CUUR0000SEFG,1941,M05,1941 May,7.4
CUUR0000SEFG,1941,M06,1941 Jun,7.4
CUUR0000SEFG,1941,M07,1941 Jul,7.6
CUUR0000SEFG,1941,M08,1941 Aug,7.9
CUUR0000SEFG,1941,M09,1941 Sep,8.2
CUUR0000SEFG,1941,M10,1941 Oct,8.2
CUUR0000SEFG,1941,M11,1941 Nov,8.5
CUUR0000SEFG,1941,M12,1941 Dec,8.7
CUUR0000SEFG,1942,M01,1942 Jan,9.1
CUUR0000SEFG,1942,M02,1942 Feb,9.9
CUUR0000SEFG,1942,M03,1942 Mar,10.0
CUUR0000SEFG,1942,M04,1942 Apr,9.9
CUUR0000SEFG,1942,M05,1942 May,9.5
CUUR0000SEFG,1942,M06,1942 Jun,9.9
CUUR0000SEFG,1942,M07,1942 Jul,10.1
CUUR0000SEFG,1942,M08,1942 Aug,10.3
CUUR0000SEFG,1942,M09,1942 Sep,10.6
CUUR0000SEFG,1942,M10,1942 Oct,10.9
CUUR0000SEFG,1942,M11,1942 Nov,11.2
CUUR0000SEFG,1942,M12,1942 Dec,11.5
CUUR0000SEFG,1943,M01,1943 Jan,11.8
CUUR0000SEFG,1943,M02,1943 Feb,12.1
CUUR0000SEFG,1943,M03,1943 Mar,12.8
CUUR0000SEFG,1943,M04,1943 Apr,13.0
CUUR0000SEFG,1943,M05,1943 May,12.6
CUUR0000SEFG,1943,M06,1943 Jun,12.6
CUUR0000SEFG,1943,M07,1943 Jul,13.1
CUUR0000SEFG,1943,M08,1943 Aug,12.7
CUUR0000SEFG,1943,M09,1943 Sep,13.1
CUUR0000SEFG,1943,M10,1943 Oct,13.6
CUUR0000SEFG,1943,M11,1943 Nov,14.0
CUUR0000SEFG,1943,M12,1943 Dec,14.1
CUUR0000SEFG,1944,M01,1944 Jan,14.0
CUUR0000SEFG,1944,M02,1944 Feb,13.6
CUUR0000SEFG,1944,M03,1944 Mar,13.8
CUUR0000SEFG,1944,M04,1944 Apr,13.2
CUUR0000SEFG,1944,M05,1944 May,12.6
CUUR0000SEFG,1944,M06,1944 Jun,12.3
CUUR0000SEFG,1944,M07,1944 Jul,12.4
CUUR0000SEFG,1944,M08,1944 Aug,12.4
CUUR0000SEFG,1944,M09,1944 Sep,12.6
CUUR0000SEFG,1944,M10,1944 Oct,12.9
CUUR0000SEFG,1944,M11,1944 Nov,13.2
CUUR0000SEFG,1944,M12,1944 Dec,13.2
CUUR0000SEFG,1945,M01,1945 Jan,13.2
CUUR0000SEFG,1945,M02,1945 Feb,13.5
CUUR0000SEFG,1945,M03,1945 Mar,13.5
CUUR0000SEFG,1945,M04,1945 Apr,13.3
CUUR0000SEFG,1945,M05,1945 May,13.7
CUUR0000SEFG,1945,M06,1945 Jun,13.5
CUUR0000SEFG,1945,M07,1945 Jul,13.6
CUUR0000SEFG,1945,M08,1945 Aug,13.7
CUUR0000SEFG,1945,M09,1945 Sep,13.8
CUUR0000SEFG,1945,M10,1945 Oct,13.9
CUUR0000SEFG,1945,M11,1945 Nov,13.9
